counter,RA,DEC,G_mag,R_mag,J_mag,K_mag,W1mag,W2mag,petro_g,petro_r,Fpk,Hpk,redshift,specObjID,class,U_mag,I_mag,Z_mag
168,23:02:14.08,+00:12:02.5,23.4823,21.8817,19.798117,18.749569,17.879591,17.828129,6.790132438659668,6.735247077941895,-999.0,-999.0,999.0,NIRES091818,?,22.575,20.605,19.92
84,02:04:50.82,+00:04:41.0,22.6148,21.0828,19.535616,18.428946,18.410091,18.439005,5.911179256439209,5.5303776054382325,-999.0,-999.0,-999.0,Gemini18B,none,25.34,19.967,19.278
50,00:50:20.57,-00:25:48.4,22.78,21.1146,19.537792,18.449102,18.361729,18.370527,5.232427425384522,4.838296440124512,-999.0,-999.0,-999.0,0,none,23.208,20.289,19.783
6,00:00:46.11,-00:32:03.2,22.7765,21.1863,19.500998,18.531534,18.9445,18.713732,4.504539653778076,4.317667636871338,-999.0,-999.0,-999.0,0,none,22.694,20.523,19.878
52,00:52:04.54,+00:19:52.8,22.1481,20.9057,19.150032,18.090773,17.164408,16.80752,3.6828238677978518,4.052125545501709,-999.0,-999.0,-999.0,0,none,24.767,20.099,19.376
26,00:21:42.95,-00:06:07.2,22.9102,21.4839,19.832794,18.693705,18.775902,18.722273,8.126988945007325,5.427924705505371,-999.0,-999.0,2.1,NIRES092318,QSO,23.542,20.489,19.805
213,23:40:47.19,-00:33:05.1,22.7686,21.1931,19.57212,18.394823,18.40211,18.415436,6.4268426513671875,6.703883583068848,-999.0,-999.0,-999.0,0,none,24.68,20.454,19.805
176,23:10:52.68,-00:38:12.1,22.7125,21.4982,19.782381,18.881065,19.627443,19.593887,5.397083885192871,5.273722492218018,-999.0,-999.0,-999.0,0,none,25.516,20.681,
118,22:19:28.51,+00:57:19.3,22.6611,21.0888,19.292482,18.172895,18.434444,18.312239,4.739763977050782,4.572754726409912,-999.0,0.41,999.0,TSPEC082918,??,22.677,20.538,19.953
106,22:10:36.79,-00:57:17.2,22.1284,20.4083,18.615494,17.727022,17.180386,16.917213,6.67330485534668,8.453950584411622,-999.0,0.31,999.0,TSPEC082818,??,23.005,19.51,18.797
73,01:57:59.67,-00:42:38.6,22.4548,21.1398,19.330526,18.43902,18.770966,18.723246,4.292576614379883,5.534820716857911,-999.0,-999.0,-999.0,Gemini18B,AGN,23.396,20.545,19.881
40,00:36:13.06,-00:52:30.9,23.5897,21.8578,19.822058,18.864023,19.327871,19.262728,5.993507675170899,4.638617385864258,-999.0,-999.0,-999.0,0,none,24.263,20.7,20.033
185,23:23:36.35,+00:12:05.8,23.0964,21.5583,19.858252,18.892618,18.469349,18.516819,3.4708608283996583,4.589220108032227,-999.0,-999.0,-999.0,0,none,25.348,21.797,20.063
45,00:47:16.57,+00:22:49.6,22.5392,21.1434,19.479342,18.47449,18.79018,18.857439,5.271631038665772,3.9873082351684572,-999.0,-999.0,-999.0,Gemini18B,QSO??,25.342,20.305,19.778
135,22:28:35.29,-00:39:35.4,22.8392,21.7639,19.699232,18.732332,17.176493,16.81226,5.050259479522706,6.011279743194581,-999.0,-999.0,-999.0,NIRES092218,none,23.125,21.049,20.104
243,23:59:41.10,-00:06:24.9,21.9948,21.9932,19.903374,18.458908,17.99646,17.593521,4.9815217323303225,3.2408640060424805,-999.0,-999.0,-999.0,Gemini18B,none,23.113,21.747,20.588
39,00:35:34.68,-00:21:06.6,22.7201,21.6114,19.662773,18.798473,18.160852,18.1016,4.201100635528564,3.7803109817504885,-999.0,-999.0,-999.0,0,none,24.896,20.72,20.014
34,00:26:16.07,+00:30:17.1,22.7666,21.6697,20.140182,18.841904,17.98598,17.808239,4.8456142616271975,4.927943058013916,-999.0,-999.0,-999.0,0,none,25.615,20.083,19.415
78,01:59:55.13,-00:51:17.4,23.4811,21.598,20.087072,18.828447,18.016905,17.624575,4.6861845474243164,6.807382965087891,-999.0,-999.0,-999.0,0,none,22.31,20.333,19.96
192,23:26:27.92,-00:51:45.3,22.8124,21.2038,19.69192,18.557207,18.390116,18.451147,6.115823719024658,6.499239120483399,-999.0,-999.0,-999.0,0,none,22.173,20.204,19.677
121,22:20:39.14,+00:03:03.2,23.4369,22.0153,20.005934,18.762663,17.784386,17.775654,7.548598937988282,6.3134120750427245,-999.0,-999.0,-999.0,0,none,21.674,20.019,18.877
202,23:31:33.21,-00:08:15.8,23.0142,21.3127,19.105051,17.942284,16.987457,16.546293,4.363405437469483,3.5503141593933107,-999.0,-999.0,-999.0,0,none,26.222,19.952,19.368
180,23:16:45.59,+00:50:42.7,23.021,21.3233,19.655495,18.586868,18.706934,18.64379,4.780274276733398,5.017327583312989,-999.0,-999.0,-999.0,0,none,25.886,20.678,19.935
