RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,H_mag,K_mag,W1mag,W2mag,SPEC_Z,SPEC_CLASS
15.82133865,-0.597526014,22.400644,22.418943,21.9213,21.478321,20.664307,20.613043,,19.47131,19.117779,19.100103,1.189401,GALAXY
26.84301376,-0.272740424,22.702505,22.779694,21.916605,21.453905,20.821936,20.213383,19.687344,19.294207,18.45555,18.598375,1.080629,GALAXY
27.70014381,-0.299008489,22.909815,22.402187,21.896496,21.050123,20.666609,19.795193,19.54639,18.981422,17.913048,17.927223,0.783021,GALAXY
17.20565224,-0.441720426,24.6987,22.6863,21.8785,21.5398,21.3264,,,,20.801018,20.730942,0.277577,GALAXY
37.10614777,0.661893606,23.046211,22.250328,21.87417,21.274853,20.77742,20.506235,20.110483,19.563839,,,0.6812044,GALAXY
37.5838579,-0.837264196,23.77905,22.601538,21.87236,21.58959,20.83696,,,19.640684,,,0.77,GALAXY
24.86894035,0.192514896,24.098095,23.026827,21.86992,20.999054,20.404343,19.91603,19.670849,19.021902,19.178463,19.448536,0.658269,GALAXY
22.55944061,0.281148374,23.388628,22.900599,21.865858,21.566618,20.998055,20.729357,,20.542454,20.558622,20.669588,0.402636,GALAXY
25.34078217,-0.126110435,23.562206,22.672884,21.860733,20.87924,20.122803,19.888865,19.32674,19.028114,18.550163,18.748632,0.9448454,GALAXY
25.49047852,-0.074619621,24.26012,22.924284,21.858238,21.072926,20.713217,20.468899,20.131453,19.848314,19.416306,19.773571,0.612093,GALAXY
14.4383955,0.069105394,23.656965,24.123892,21.855946,20.616138,20.261616,19.628029,19.036642,18.92879,18.606815,18.988188,0.6558579,GALAXY
17.28456879,-0.005245735,25.254808,23.30372,21.851698,21.121983,20.509975,19.988325,19.233139,18.869081,18.718159,18.620237,0.296434,GALAXY
349.5631409,0.604959905,23.599033,22.491135,21.851583,20.721897,20.289173,19.906672,19.773624,19.21777,18.94212,19.075344,0.7879271,GALAXY
334.3001709,0.212308973,23.31637,22.589245,21.848932,21.105808,20.268808,20.173168,20.207815,19.700045,19.29038,19.326252,0.8084,GALAXY
353.4268188,-0.353967965,22.953596,22.443666,21.848042,21.054071,20.45701,19.811153,19.706331,19.291838,18.545387,18.6655,0.9269205,GALAXY
13.43569374,0.043982901,24.010283,22.513187,21.835909,21.213007,20.60124,19.92316,19.914173,19.512604,,,0.8288195,GALAXY
17.49898148,0.124300256,23.564209,22.748388,21.81968,21.030573,20.966637,20.295622,20.076752,19.68435,18.97113,19.064196,0.7334519,GALAXY
349.3812543,0.175227467,24.110933,23.248585,21.811304,21.009872,20.26918,19.831526,19.169455,19.05582,18.6535,18.632133,0.81,GALAXY
19.96557617,0.456055135,25.145351,22.902138,21.81086,21.14809,20.964361,20.464378,20.62187,20.705853,20.46324,20.343327,0.43338886,GALAXY
10.88653165,-0.100803962,23.054556,22.619246,21.807846,21.040962,20.482065,19.74337,19.577375,19.495602,18.781206,18.647768,0.824,GALAXY
18.71096802,0.280474842,23.2551,22.5693,21.8041,21.7092,21.8653,,,,22.008337,23.88115,0.352105,GALAXY
28.20668102,1.088593668,24.243593,22.74799,21.794626,21.262938,20.745365,20.248634,20.139746,19.50601,,,0.439078,GALAXY
25.80626869,-0.125028983,22.54373,22.193281,21.789557,21.352993,21.01794,21.027332,20.423496,20.379843,19.91212,20.074848,0.754558,GALAXY
19.78881836,-0.420691788,,,21.78032,20.97842,20.592932,20.63632,19.636765,19.636652,19.633293,19.755188,0.50147,GALAXY
352.8693848,-0.561653137,23.771593,22.582502,21.780102,20.879536,20.500084,19.880295,19.404875,19.184607,19.153395,19.60027,0.7133692,GALAXY
17.89330864,0.081631608,24.821907,23.45741,21.765436,20.63439,20.091415,19.749857,19.240862,19.000507,18.684372,19.067982,0.72871476,GALAXY
18.76493835,-0.20186244,23.01202,22.605299,21.764284,21.359875,21.120234,20.629063,20.518076,20.124222,20.881401,20.805435,0.404867,GALAXY
27.17693329,-0.440892011,22.780983,22.173075,21.75821,21.055376,20.724512,20.161102,19.98336,19.42006,19.098467,19.45342,0.7877856,GALAXY
19.49443626,0.074346408,22.73869,22.323051,21.748722,21.482988,21.186008,20.728153,20.01443,21.026459,19.46618,19.545021,0.25810444,GALAXY
19.14270782,-0.25801903,22.34678,22.148245,21.728447,21.44424,20.890965,20.715412,21.03121,20.09191,19.504658,19.680992,1.1548041,GALAXY
19.86419106,0.197833478,23.5422,22.3117,21.7161,21.413,20.9408,,,,21.625717,21.687057,0.205462,GALAXY
20.87046242,-0.247683778,22.884708,22.542284,21.711464,21.174776,20.733387,20.676105,20.17203,19.813011,19.652077,19.49402,0.65016794,GALAXY
22.45157433,0.091187112,23.23161,22.46399,21.69705,21.283514,21.480673,20.971378,,20.208736,,,0.584259,GALAXY
351.6758728,0.329860747,26.771685,23.146236,21.687874,21.103146,20.68602,20.106045,19.359095,19.020235,18.180191,17.706205,0.46,GALAXY
352.8835754,0.160410717,22.482584,22.115528,21.671146,21.177176,20.569801,20.20952,20.147095,19.5723,19.02149,19.079237,1.051669,GALAXY
17.80212212,0.486025333,23.15146,22.88021,21.670061,20.535044,20.208134,19.994125,19.385082,18.988756,18.690609,18.806025,0.6895439,GALAXY
19.34301376,0.358247101,22.91358,22.550282,21.666721,20.634254,20.10551,19.518353,19.064247,18.63505,18.417023,18.481215,0.8514275,GALAXY
14.24290752,-0.442502469,22.797163,22.221413,21.648077,21.159313,20.725573,20.030107,20.318884,19.628492,18.971712,18.89944,0.8798669,GALAXY
349.7147827,0.757458031,23.773298,22.43832,21.622011,20.479614,19.972914,19.442978,19.178448,19.032701,18.324,18.643862,0.9108406,GALAXY
25.38632202,-0.317486554,22.84729,22.256598,21.6128,21.08574,21.00659,20.593128,,,19.731268,19.720428,0.619177,GALAXY
17.97325325,-0.239418402,23.150434,22.404146,21.611097,20.84894,20.476202,19.826433,20.043886,19.281437,18.926916,18.993067,0.66316515,GALAXY
24.29546928,-0.119761489,23.785997,23.034382,21.610844,20.30452,19.752506,19.25069,18.836714,18.451279,18.209282,18.566366,0.670918,GALAXY
15.92798615,-0.047306392,22.952532,22.405767,21.571316,20.954424,20.546242,20.120186,20.419825,19.373707,19.62047,19.802382,0.67571056,GALAXY
353.2055969,0.299394578,23.38734,22.13875,21.55763,21.007866,20.834251,20.545486,20.103458,19.177685,18.841984,19.036077,0.64,GALAXY
16.55214691,-0.062197309,23.205399,22.446001,21.545475,20.875698,20.53188,20.021072,19.881033,19.123093,19.513845,19.847084,0.6600821,GALAXY
25.37998962,-0.474206448,22.696823,22.14005,21.54225,21.152441,21.105026,21.305647,20.576534,,21.437458,21.578144,0.598663,GALAXY
20.86550903,-0.363204807,23.614119,22.441803,21.533543,20.545258,19.93816,19.897621,19.75341,19.339457,18.960716,19.231026,0.650563,GALAXY
14.81288624,0.264595747,22.868986,22.537537,21.527218,20.68878,19.950361,19.353548,19.116508,18.683231,17.871004,17.713713,0.733606,GALAXY
15.23472977,0.376953125,24.519512,22.480028,21.501513,20.484474,19.898718,19.452974,19.274483,18.731487,18.381382,18.864353,0.7535471,GALAXY
309.8618743,-1.007372911,,22.832645,21.48947,,20.796339,20.540888,,19.388575,,,0.537,GALAXY
19.79920197,-0.376189888,22.307558,21.850586,21.48297,20.886967,20.647089,20.260773,19.856348,19.967466,19.693243,19.871346,0.8466878,GALAXY
322.3377861,-0.061509594,22.56047,22.13268,21.477919,20.809046,20.094393,19.673748,19.567747,19.245762,,,0.9688259,GALAXY
25.68751144,-0.186684221,22.762623,22.250252,21.47382,20.599506,19.835941,19.704021,19.382133,19.026886,18.118599,18.498201,0.908292,GALAXY
25.704422,0.078159511,22.751493,22.172165,21.46924,21.00808,21.107145,20.92977,20.643044,20.57254,20.775167,21.067528,0.603529,GALAXY
16.80475807,0.174458906,24.39177,22.761915,21.460278,20.488615,19.975475,19.711973,19.58218,19.176853,18.970245,19.117592,0.544444,GALAXY
