counter,RA,DEC,G_MAG_AB,R_MAG_AB,Y_MAG_AB,J_MAG_AB,H_MAG_AB,K_MAG_AB,ch1_mag,ch2_mag,gj,rj,jk,rk,petro_g,petro_r,Fpk,Hpk,redshift,specObjID,class
100,02:20:24.54,+00:20:00.0,24.1987,23.1083,20.460827,19.858755,19.224665,18.855892,18.560385,18.136868,4.3399444,3.249544,1.0028628,4.2524066,4.60411784362793,3.438975036621094,-999.0,-999.0,2.26,Gemini,QSO
181,23:17:37.44,+00:36:09.2,23.462,21.5359,20.624369,19.866264,19.12385,18.80444,18.880075,18.975649,3.5957353,1.6696355,1.0618247,2.73146,4.798308437347412,6.318116901397706,-999.0,-999.0,999.0,NIRES080318,?
204,23:35:48.47,-00:13:58.1,22.9896,21.5389,20.357712,19.81245,19.404608,18.87862,18.787828,18.653955,3.1771486,1.7264497,0.93383014,2.6602798,4.457494789123535,4.450437927246094,-999.0,-999.0,-999.0,0,none
170,23:05:04.11,+00:50:12.6,22.6179,21.0459,19.819176,19.357265,18.78296,18.364195,18.233847,18.073605,3.2606351,1.6886346,0.9930705,2.681705,5.600683753967285,4.863387084960937,-999.0,-999.0,-999.0,0,none
42,00:41:15.48,-00:44:31.1,23.6233,21.5817,20.469414,19.6422,19.084064,18.842009,19.396353,19.481527,3.9810998,1.9394987,0.80019176,2.7396903,5.147485256195068,6.604567108154297,-999.0,-999.0,-999.0,0,none
197,23:28:11.55,+00:13:16.7,22.5696,21.5636,20.00899,19.985415,19.461254,18.857218,18.152271,18.05265,2.5841844,1.5781858,1.1281966,2.7063823,4.5764138259887694,5.619240211486817,-999.0,-999.0,-999.0,0,none
179,23:15:42.01,+00:13:04.0,22.5182,21.826,19.98681,19.542757,19.142614,18.647974,17.687464,17.762646,2.9754426,2.283243,0.8947829,3.1780257,5.1819847984313965,6.271071659088135,-999.0,-999.0,999.0,NIRES091818,?
35,00:26:37.47,-00:23:22.8,22.5556,21.7125,19.682829,19.535555,19.251791,18.810768,18.466146,18.51755,3.020044,2.1769445,0.72478664,2.901731,5.373561641693115,4.546880069732667,-999.0,-999.0,-999.0,0,none
99,02:20:16.96,-00:29:16.5,22.9192,21.5821,20.70371,20.02377,19.438465,18.86577,19.209831,19.1034,2.8954313,1.5583303,1.1579989,2.716329,5.047906688690186,5.294891944885254,-999.0,-999.0,-999.0,0,none
44,00:47:06.73,-00:49:54.6,22.4349,21.445,19.892275,19.672117,19.120352,18.818233,19.134884,19.119205,2.7627828,1.7728822,0.8538836,2.6267657,3.7217665214538576,4.024944202423096,-999.0,-999.0,-999.0,0,none
153,22:49:00.14,-00:18:04.3,23.9491,21.6459,20.378248,19.870897,19.069021,18.817608,18.98873,18.921543,4.0782027,1.7750032,1.0532893,2.8282924,4.700559608459473,7.371920585632324,-999.0,-999.0,-999.0,0,none
59,01:50:32.51,+00:58:34.5,22.3923,21.8449,20.239573,19.753225,19.13292,18.826435,18.119349,17.587133,2.639074,2.0916746,0.9267901,3.0184646,3.3119541664123537,3.245046157836914,-999.0,-999.0,-999.0,0,none
129,22:25:10.73,+00:37:25.0,22.4233,21.0541,19.63681,19.360802,19.429253,17.154995,20.263508,20.360723,3.0624979,1.6932981,2.2058077,3.8991055,4.223577907562256,3.3830439491271975,-999.0,-999.0,-999.0,0,none
241,23:59:05.67,-00:17:38.2,23.0456,21.4479,20.192467,19.723139,19.098528,18.637936,19.01207,18.926954,3.3224618,1.7247617,1.085203,2.8099647,4.3986886138916015,4.104397911071778,-999.0,-999.0,-999.0,NIRES092218,none
221,23:46:51.15,+00:50:37.0,22.4964,21.4684,19.971027,19.481907,18.95459,18.613375,17.799837,17.882986,3.0144937,1.9864919,0.86853206,2.8550239,4.678605388641357,5.165519416809082,-999.0,-999.0,.866,NIRES080318,QSO
225,23:49:11.85,-00:13:00.8,22.8922,21.497,20.11763,19.51373,19.131657,18.746956,19.407831,19.131176,3.3784711,1.9832704,0.7667731,2.7500434,4.35164412689209,3.6694945335388187,-999.0,-999.0,-999.0,0,none
107,22:11:30.28,-00:49:53.2,22.2006,21.1637,19.489397,19.185528,18.757067,18.322132,18.5239,18.499638,3.0150716,1.9781721,0.8633956,2.8415675,5.410151882171631,6.666248748779298,-999.0,-999.0,-999.0,0,none
14,00:15:11.16,+00:46:17.2,22.7267,21.7316,20.172855,19.629282,18.926327,18.54679,17.985064,17.977507,3.0974176,2.1023176,1.0824927,3.1848102,6.769223945617676,5.5771611328125,-999.0,-999.0,-999.0,Gemini18B,none
144,22:42:39.82,-00:38:47.7,23.4932,22.0036,20.241312,19.875326,19.145342,18.172308,17.212803,16.93403,3.617874,2.1282728,1.7030181,3.8312907,5.351346462249756,5.8821681747436525,1.34,0.83,0.61,Gemini,NLAGN
228,23:51:03.46,-00:13:38.9,23.2486,22.1326,20.623657,20.11738,19.562437,18.899805,18.02873,18.040573,3.1312196,2.0152204,1.217575,3.2327952,4.067022903442383,3.989399311065674,-999.0,-999.0,-999.0,0,none
210,23:39:23.31,+00:38:19.9,23.08,21.3445,20.414837,19.843487,19.134909,18.616552,18.704168,18.59565,3.236513,1.5010126,1.2269343,2.7279468,6.77340609741211,6.1887436180114745,-999.0,-999.0,999.0,NIRES092318,?
61,01:51:12.70,-00:41:59.3,23.1224,21.4989,19.94741,19.827023,19.214396,18.819948,18.81853,18.772259,3.2953775,1.6718767,1.0070742,2.6789508,3.941309097290039,5.710715812683106,-999.0,-999.0,-999.0,0,none
28,00:22:45.11,+00:25:00.8,22.4254,21.3845,20.160418,19.575296,19.088362,18.56883,17.666836,17.54623,2.8501031,1.8092039,1.0064658,2.8156695,5.467651371002198,5.614013088226319,-999.0,-999.0,-999.0,0,none
72,01:57:26.77,-00:09:38.7,22.6741,21.3599,20.655806,19.746346,19.029999,18.470629,18.689508,18.614697,2.927755,1.6135538,1.2757167,2.8892703,6.912971534729004,5.520706993103028,-999.0,-999.0,-999.0,Gemini18B,none
